"kanji","hiragana","meaning"
"左右","さゆう","좌우"
"職人","しょくにん","장인"
"釣り合う","つりあう","적합하다, 조화되다"
"祖先","そせん","조상"
"観察","かんさつ","관찰"
"儲かる","もうかる","득이되다"
"適用","てきよう","적용"
"嵐","あらし","광풍"
"時事","じじ","시사"
"支出","ししゅつ","지출"
"関係者","かんけいしゃ","관계자"
"先祖","せんぞ","선조 (조상)"
"遠足","えんそく","소풍"
"切っ掛け","きっかけ","계기"
"文体","ぶんたい","문체"
"組み立てる","くみたてる","조립하다"
"思い切り","おもいきり","마음껏, 실컷"
"保険","ほけん","보건"
"見学","けんがく","견학"
"丘","おか","언덕"
"穏やか","おだやか","온화함"
"斬る","きる","베다"
"生命","せいめい","생명"
"伴う","ともなう","동반하다"
"接続","せつぞく","접속"
"監視","かんし","감시"
"全力","ぜんりょく","전력"
"衣食住","いしょくじゅう","의식주"
"敬意","けいい","경의 (를 표한다 할때)"
"四捨五入","ししゃごにゅう","반올림 (사사오입)"
"基づく","もとづく","토대로하다"
"無限","むげん","무한"
"憎む","にくむ","미워하다"
"非常に","ひじょうに","대단히 (직:비상히)"
"材木","ざいもく","재목"
"縮む","ちぢむ","오그라들다"
"姪","めい","조카딸"
"工芸","こうげい","공예"
"裸","はだか","알몸"
"現象","げんしょう","현상 (어떤 현상 할때)"
"放出","ほうしゅつ","방출"
"古典","こてん","고전"
"省略","しょうりゃく","생략"
"青少年","せいしょうねん","청소년"
"小指","こゆび","새끼손가락"
"祭る","まつる","제사지내다"
"典型的な","てんけいてきな","전형적인"
"分解","ぶんかい","분해"
"担ぐ","かつぐ","메다, 짊어지다"
"三角","さんかく","삼각"
"醤油","しょうゆ","간장 (먹는 간장임)"
"方程式","ほうていしき","방정식"
"地点","ちてん","지점"
"退院","たいいん","퇴원"
"統計","とうけい","통계"
"情勢","じょうせい","정세"
"交ぜる","まぜる","섞다"
"編む","あむ","짜다, 엮다"
"見直す","みなおす","다시보다"
"快晴","かいせい","쾌청"
"校舎","こうしゃ","캠퍼스 (대학등의)"
"生意気","なまいき","건방짐"
"薬局","やっきょく","약국"
"服装","ふくそう","복장"
"賞金","しょうきん","상금"
"巡査","じゅんさ","순사"
"循環","じゅんかん","순환"
"宣伝","せんでん","선전 (커미셜, CM라고 함. 사전적의미는 같은데 잘 안씀)"
"寿命","じゅみょう","수명"
"非難","ひなん","비난"
"請求","せいきゅう","청구"
"通ずる","つうずる","통하다, 연결되다"
"符号","ふごう","부호 (부호가 플러스나 마이너스 할때)"
"深夜","しんや","심야"
"秘密","ひみつ","비밀"
"設備","せつび","설비"
"漸く","ようやく","겨우"
"補う","おぎなう","보충하다"
"供給","きょうきゅう","공급"
"航空社","こうくうしゃ","항공사"
"図書館","としょかん","도서관"
"薬品","やくひん","약품"
"彼方此方","あちらこちら","여기저기"
"争う","あらそう","다투다, 싸우다"
"区分","くぶん","구분"
"温帯","おんたい","온대"
"不正行為","ふせいこうい","부정행위"
"組み","くみ","조, 학급"
"開催","かいさい","개최"
"逸れる","それる","빗나가다"
"順調","じゅんちょう","순조 (롭다 할때)"
"分類","ぶんるい","분류"
"平野","へいや","평야"
"献立","こんだて","식단 (일주일치 식단할때, 메뉴랑은 다릅니다.)"
"文明","ぶんめい","문명"
"人物","じんぶつ","인물"
"代える","かえる","대신하다"
"交流","こうりゅう","교류"
"遊園地","ゆうえんち","유원지"
"兼ねる","かねる","겸하다 ('대'는 '소'를 겸한다 할때)"
"修正","しゅうせい","수정 (고치는거)"
"刺す","さす","찌르다"
"容器","ようき","용기 (담는그릇)"
"索引","さくいん","색인"
"粉","こな","가루"
"香り","かおり","향기"
"響き","ひびき","울림, 그 소리"
"原始","げんし","원시 (원시인 할때)"
"粉食","ふんしょく","분식 (가루로된 음식, 분식집할때)"
"例える","たとえる","예를들다"
"上手い","うまい","뛰어나다"
